Startup Name,Email,Phone
VIDHIK CORPORATE SOLUTIONS PRIVATE LIMITED,vcslucknow@gmail.com,(+91) 9151300111
EmergeTech Mobile Products & Services Pvt Ltd,atul.gupta@classup.in,(+91) 9873011186
NINTEBU INDIA PRIVATE LIMITED,sukul.tyagi@gmail.com,(+91) 9758144144
DEVOID TECHNOLOGIES PRIVATE LIMITED,devoidtechnologies@gmail.com,(+91) 9457615675
ADAMYA HERBAL CARE PRIVATE LIMITED,adamyaherbalcare@gmail.com,(+91) 9839072645
CIBERMEN ONLINE SERVICES PRIVATE LIMITED,ceo@cibermen.com,(+91) 7017794299
KIPEKEE AGRO(OPC) PRIVATE LIMITED,narendra.kumar@kipekee.in,(+91) 9899692749
ASPL Green Ventures Private Limited,drumseeders@gmail.com,(+91) 9415180936
ASPEXX HEALTH SOLUTIONS PRIVATE LIMITED,shivanimishra1692@gmail.com,(+91) 9990375133
KALKING COSMETECH PRIVATE LIMITED,m_13142127@rediffmail.com,(+91) 9582609519
APT ESERVE OPC PRIVATE LIMITED,me@atulpatitripathi.com,(+91) 8745917777
IVS Softtech Private Limited,alok15281@gmail.com,(+91) 9881902574
Room Soom Technologies Pvt Ltd,nagrawal0703@gmail.com,(+91) 9717890200
Kraftors Web Solutions Private Limited,jaiswal.grv@gmail.com,(+91) 9044196343
Kraftors Web Solutions Private Limited,jaiswal.grv@gmail.com,(+91) 9044196343
ASV WEB AND TECHNOLOGY PRIVATE LIMITED,asvwebandtechnologies@gmail.com,(+91) 7985376219
RST ECOENERGY PRIVATE LIMITED,director@rstenergy.com,(+91) 9770855549
DESKOTEL COMMUNICATIONS PRIVATE LIMITED,kaushal@callerdesk.io,(+91) 9266607898
Zebu Breeding & Conservation LLP,khandelwalrohit1980@gmail.com,(+91) 9838661444
INDIZEKIDS SYSTEM (OPC) PVT LTD,SAKET.SINHA@INDIZEKIDS.COM,(+91) 9910503059
graphotive production pvt ltd,vivek.nath@graphotive.com,(+91) 9319394866
Quality Enviro Engineers Private Limited,query@qualityenviroengineers.com,(+91) 8808088807
MRK REALTECH PVT LTD,mayurrajkapoor@gmail.com,(+91) 8400700657
Innomalous Technologies Private Limited,abhishek@innomalous.com,(+91) 9958866676
Innomalous Technologies Private Limited,abhishek@innomalous.com,(+91) 9958866676
Empyrean Robotic Technologies LLP,contact@empyrotech.com,(+91) 7985850698
FISCO ENERGY PRIVATE LIMITED,freshindiasolar@gmail.com,(+91) 7897119811
Colossal Dream Technologies Private Limited,allaboutdreamz@gmail.com,(+91) 7754948555
Adismart Services Private Limited,Adismartstartup@gmail.com,(+91) 9140419174
Glorious Insight Pvt Ltd,vinay.prakash@glorinz.com,(+91) 9650488899
INOVATIQ ENGINEERING PRIVATE LIMITED,inovatiq@gmail.com,(+91) 9811249215
USOP SECURITI TECHNOLOGIES PRIVATE LIMITED,namratanu@gmail.com,(+91) 9650735310
USOP SECURITI TECHNOLOGIES PRIVATE LIMITED,namratanu@gmail.com,(+91) 9650735310
AgSmartic Technologies,rashi.verma@agsmartic.com,(+91) 8527492753
G Systems,ashishkushwaha1110@gmail.com,(+91) 9560742211
Guzmac India Private Limited,boilingvivek@gmail.com,(+91) 6307222964
Jungly Labs Private Limited,gp@junglylabs.com,(+91) 9717200735
SGA INDIAN GATEWAY PVT LTD,info@indiangateway.in,(+91) 7007831481
ARCENCIEL INDUSTRIES PRIVATE LIMITED,arcencielindustries@gmail.com,(+91) 9807100700
Ingeniocrats Private Limited,sid@hungrytripper.com,(+91) 9810505526
TWIGHOP REALTY SERVICES PRIVATE LIMITED,umeed@twighop.com,(+91) 9100940194
BroadBuy Technovative Solutions Pvt. Ltd,cashcry.com@gmail.com,(+91) 7905749752
GreyKernel Technologies India Private Limited,abhishekg@greykernel.com,(+91) 9953007870
Red Raven opc Operative Pvt Ltd,redravenoperative@gmail.com,(+91) 8099477192
Nandinandan Breeds & seeds India Pvt Ltd,sanjeevfaculty@gmail.com,(+91) 8601873055
Lextrum Legal Education Services Pvt Ltd,dsaraswat04@gmail.com,(+91) 7906381754
Krishna Consultancy,krishnaconsultancy403@gmail.com,(+91) 6398965384
StarShield Technologies Pvt. Ltd.,supreetsinghg@yahoo.co.in,(+91) 9911722255
Antrix Networks Private Limited,Sujan.deb@antrixnetworks.in,(+91) 9971217888
Antrix Networks Private Limited,Sujan.deb@antrixnetworks.in,(+91) 9971217888
Krishakkart Agro Innovation LLP,sanjay.sonebhadra@gmail.com,(+91) 7376024630
Divit Nutraceuticals Pvt Ltd,vikrant.tomar@divitnutrition.com,(+91) 9911277855
INSPIRE HOMES,ershashankinspirehomes@gmail.com,(+91) 9335252452
AVJA VENTURES PRIVARE LIMITED,avjaventures@gmail.com,(+91) 9897897001
Quest educational technologies LLP,questeducationaltechnologies@gmail.com,(+91) 7428778381
Kanpur Technologies Private Limited,kanpur.technologies@gmail.com,(+91) 7007284329
Veros Enterprises,verosenterprises@gmail.com,(+91) 9838454499
Onikosh Steam Pvt Ltd,info.onikosh@gmail.com,(+91) 9136633394
Vedagarbha Renewable Energy and Technology(OPC) Pvt Ltd,jps.iitbhu@gmail.com,(+91) 9792820914
Tvesas Electric Solutions Pvt Ltd,varun@tvesas.com,(+91) 9554077700
Tvesas Electric Solutions Pvt Ltd,varun@tvesas.com,(+91) 9554077700
ofo technologies pvt ltd,prasoon@ofoworld.com,(+91) 9919103580
BLUEHEARTCARE,desk@blueheartcare.com,(+91) 7417431260
LEICHT LED PVT LTD,leichtledindia@gmail.com,(+91) 7007787875
JRDC ENGINEERING PRIVATE LIMITED,jrdcengineeringpvt@gmail.com,(+91) 7080564729
ONLY ONE DIGI E INDOWORLD PRIVATE LIMITED,onlyonedigitalindia@gmail.com,(+91) 7017591182
Greencore Producer Company Limited,agriworld18@gmail.com,(+91) 7234001110
EN MARKETING OPC PVT LTD,pagrahari178@gmail.com,(+91) 9838747661
devarvind project operationsllp,arvind8009565007@gmail.com,(+91) 8009565007
earth n pots planting solutions llp,earthnpots@gmail.com,(+91) 9953400706
ETL LABS PVT LTD,info@goetl.com,(+91) 9899784226
VRAI VIE SOLUTIONS PRIVATE LIMITED,dewanshpoddar@gmail.com,(+91) 9532476087
R Cube Green Technology LLP,vipin.karhana@gmail.com,(+91) 7065151075
Expurgo India Private Limited,expurgoindia@gmail.com,(+91) 7678635503
IOanyT Innovations Pvt Ltd,nitin.goel@ioanyt.com,(+91) 9999866100
Alming Ventures Private Limited,info@findingholidays.com,(+91) 8882590009
ZurfON9 Networks Private Limited,shubhamchowkse@zurfon9.com,(+91) 7607778444
SecondsOnStage Media Private Limited,abhisht@vyaas.in,(+91) 8939741101
CLEANYUG SCRAP MANAGEMENT PRIVATE LIMITED,manvendra@scrapkarocash.com,(+91) 9480494001
Alyth Creations,contact@alythcreations.com,(+91) 8527600722
Rootsvine Agro Exports Private Limited,rootsvineagro@gmail.com,(+91) 7827486729
Gonna Solutions Private Limited,care@futureshiksha.org,(+91) 8800890109
Aisces Software Solutions Private Limited,anuj@aisces.com,(+91) 8586835616
Papart Creations Private Limited,platanofoods@gmail.com,(+91) 9582932466
Dexob Solutions Private Limited,business@dexob.com,(+91) 9911425451
Matfusion Weld Private Limited,matfusion@outlook.com,(+91) 9044985579
City Crafters Private Limited,Sohomsunny1993@gmail.com,(+91) 7701832225
PiChem Chemicals Private Limited,info.pichem@gmail.com,(+91) 8726386009
Foodifi Technologies Pvt Ltd,raj.devesh07@gmail.com,(+91) 9696062198
Farmexa Agri Services,suraj9verma9@gmail.com,(+91) 8318698755
Friendshop properties marketing Pvt ltd,Akhilsingh2324@gmail.com,(+91) 9506066665
OSR Hostel Private Limited,thehostel.in@gmail.com,(+91) 7753011122
MOKVIS ENGINEERING PRIVATE LIMITED,PRATIK@CUJ.AC.IN,(+91) 7004715283
GREEN GIFTS RETAIL PRIVATE LIMITED,satya.engineer@gmail.com,(+91) 7080482298
VR Green Private Limited,info.vrgreen@gmail.com,(+91) 9650497007
fronix innovation llp,fronixinnovationllp@gmail.com,(+91) 9839981077
Tank-Up Petro Ventures LLP,businesshead@tankup.co.in,(+91) 7800008703
Veeery Books Private Limited,teamveeery@gmail.com,(+91) 7786087880
BAKZ4EVER (OPC) PRIVATE LIMITED,Pattie.pb@gmail.com,(+91) 8533883555
SLSR BUSINESS SOLUTIONS PRIVATE LIMITED,nandani2103@gmail.com,(+91) 9717618405
Hash media private limited,chinmay@softgains.com,(+91) 9990525000
Escalera Technologies,amit@escaleratechnologies.com,(+91) 8960655666
SAP INFRASTRUCTURES,sapinfrastructuresvns@gmail.com,(+91) 9580172082
Kuber Kanak Microfinance Association,mitra.abhik@rediffmail.com,(+91) 9839513257
NEOTECH CONSULTANCY SERVICES,neotechconsultancyservices@gmail.com,(+91) 9412236900
ignativeLabs (OPC) Private Limited,itspriyanka.spark@gmail.com,(+91) 9719461999
Law Seva Management Private Limited,lawsevapp@gmail.com,(+91) 9540175500
CARRUS EDUCATION PVT LTD,carruseducation@gmail.com,(+91) 7007247379
AMBIENT INFUSION PRIVATE LIMITED,SASSHUKLA.COM@GMAIL.COM,(+91) 7355245797
Basal Agribiotech Private Limited,basal.agri@gmail.com,(+91) 7651867409
BIGSYS INFOTECH PRIVATE LIMITED,yogeshwarchauhan05nov@gmail.com,(+91) 9695123231
SMART TOUCH INFOTECH PRIVATE LIMITED,db@smarttouchinfo.com,(+91) 9910413331
POWERLOGIX ELECTRO SYSTEMS PRIVATE LIMITED,twinkle.singh@powerlogixtech.com,(+91) 9871165552
SMARTX EDUTECH PRIVATE LIMITED,manishbind@gmail.com,(+91) 9453483848
FARMOREAL VENTURES LLP,ankursiddhu@hotmail.com,(+91) 9953298029
AU Welfare Foundation,anup.p@auwelfare.com,(+91) 7275003001
FLY-X AEROSPACE PRIVATE LIMITED,shubhamyaduvansi221@gmail.com,(+91) 9779144211
Layerwire IT Consultancy Private Limited,bhatim@outlook.com,(+91) 9540199199
TRYGVE ENGINEERING PRIVATE LIMITED,inam.khan@trygve-engineering.com,(+91) 9044072226
TRYGVE ENGINEERING PRIVATE LIMITED,inam.khan@trygve-engineering.com,(+91) 9044072226
Foodwagon Private Limited,rajdeepgautam25@gmail.com,(+91) 6396347014
PSWITCH SERVICES PVT LTD,faiz.pswitch@gmail.com,(+91) 9810946254
UPSTARTUP SERVICES PRIVATE LIMITED,upstartup2019@gmail.com,(+91) 9580486518
Brijeshtech Agri Organic Farm and Industry Private Limited,ashishserviceindustry@gmail.com,(+91) 9956343923
Greenwear Fashion Private Limited,abhishek.p@haritkhadi.com,(+91) 8800744507
STAYCAY ABODE SOLUTIONS PRIVATE LIMITED,chinmoy@hooliv.com,(+91) 9740560710
Alkawedd Tech S&S Pvt Ltd,gaurav@easyedulab.com,(+91) 8802603796
Alkawedd Tech S&S Pvt Ltd,gaurav@easyedulab.com,(+91) 8802603796
QBT PROJECTS PRIVATE LIMITED,qbtprojects@gmail.com,(+91) 7048905197
FOODAL FOOD DELIVERY,ashuviksin@foodal.in,(+91) 8299202509
Kalpit Infotech Private Limited,kalpitinfotech@gmail.com,(+91) 9760044088
Vyom Digital Services Private Limited,kapil.parashar1980@gmail.com,(+91) 9717594283
RRTNAWYATRA TECHNOLOGY PRIVATE LIMITED,tiwarirakesh360@gmail.com,(+91) 7786853588
Drisha Consultancy Private Limited,vrajmeer@gmail.com,(+91) 8960876029
CHAMPIGNON FOOD PVT LTD,arvindjswl55@gmail.com,(+91) 7985444207
Dasein System,prakharsingh39@gmail.com,(+91) 9454479703
EXACT PIPES AND MOULDS PVT LTD,exactpipe@gmail.com,(+91) 9717757869
EXACT PIPES AND MOULDS PVT LTD,exactpipe@gmail.com,(+91) 9717757869
APS TECHSOFT PRIVATE LTD,info@apstechsoft.com,(+91) 8882707080
ISL Planup ventures private limited,info@thestartuplab.in,(+91) 7042716764
Green Energyz,admin@adityaa.org,(+91) 9971894973
TERRAQUA UAV SOLUTIONS PRIVATE LIMITED,contact@terraquauav.com,(+91) 7985791210
2932 Spiritech Private Limited,guptamamendra@gmail.com,(+91) 8957192932
INTELIGO SYSTEM LLP,ranjanabhishekinteligo@outlook.com,(+91) 9793656585
Kanpur Flowercycling Pvt. Ltd,ankit@phool.co,(+91) 7081161616
Bhigusa Technologies Pvt Ltd,sumit.bhat.ece14@itbhu.ac.in,(+91) 9149553564
Cademyk Technology LLP,cademykofficial@gmail.com,(+91) 7982281446
Buddflip,harshmehrotra11@gmail.com,(+91) 9336820401
RapidAI Vision Technologies Pvt Ltd,mech.vijayg@gmail.com,(+91) 9458036799
Melopond Music Station Pvt Ltd,kushagraanand89@gmail.com,(+91) 7760731122
Softdoc Management Private Limited,legal@softdoc.co.in,(+91) 8010613777
Hindonics Technologies Pvt Ltd,hindonics@gmail.com,(+91) 9415984848
Zinglebytes Technologies Private Limited,csetanmayjain@gmail.com,(+91) 7500501234
BRAINUP PRIVATE LIMITED,account@readby.co.in,(+91) 9628131394
CLEVERSO SKILLS INDIA PRIVATE LIMITED,ceo.cleversoskills@gmail.com,(+91) 8299207062
ABBUSINESSBEE MANAGEMENT CONSULTANTS PVT LTD,ajeetsingh@ab-businessbee.in,(+91) 8271664444
CMP HOME SERVICE PRIVATE LIMITED,subhamcmp@gmail.com,(+91) 8924868750
Cryptogram Info Tech,ashishshinningstar@gmail.com,(+91) 9971645229
Akestech Infotech Pvt Ltd,sanikumaroffc@gmail.com,(+91) 9569283474
CAD 2 CAE PRIVATE LIMITED,varunkaushik0610@gmail.com,(+91) 8077583771
Medbest Pharma Pvt.Ltd.,Mailpavangupta@gmail.com,(+91) 9289990333
SWT Enterprise Private Limited,sudhir.kumar@skywalk.co.in,(+91) 9891577354
Bleaf Technologies Private Limited,info@bleaftechnologies.com,(+91) 9910497464
HALOVERT ENGINEERING (OPC) PRIVATE LIMITED,vindhyapal.alok@gmail.com,(+91) 7054213443
VIEGEM INNOVATIONS PRIVATE LIMITED,viegem@outlook.com,(+91) 9389358713
Zrima Edutech Pvt Ltd,info@zrima.in,(+91) 7860764064
Zrima Edutech Pvt Ltd,info@zrima.in,(+91) 7860764064
Talenttattoo Pvt Ltd,allwynpeter@talenttattoo.com,(+91) 9891065225
Macrogardens Private Limited,prakharagarwal19@gmail.com,(+91) 7844897355
MYCOERA PRIVATE LIMITED,asthatripathi4u@gmail.com,(+91) 9817755402
Number9 Studio Private Limited,abhdwivedi@gmail.com,(+91) 8588895796
Kurishuna Tech Industries LLP,kurishunatech@gmail.com,(+91) 9910247884
Vyom Smart Classes Foundation,nityaparashar20@gmail.com,(+91) 9873096160
OORJAgram INDIA Private Limited,reachus@oorjagram.in,(+91) 9910862297
Prabhuti Enterprises Pvt Ltd,prabhuti03@gmail.com,(+91) 9811242307
LynkSavvy Technologies (OPC) Pvt Ltd,sales@lynksavvy.com,(+91) 9902097794
NARAYANDOJO STEMCLUB PRIVATE LIMITED,info.narayandojo@gmail.com,(+91) 7248046685
DOITYOURSELF SCHOOLS PRIVATE LIMITED,Raghvendraverma@rocketmail.com,(+91) 9889999166
GLOBIZTECH SOLUTION PRIVATE LIMITED,shukla924@gmail.com,(+91) 9336705834
Predulive Edutech Foundation,shivanshudwivedi497@gmail.com,(+91) 9918443373
DelPay,shardul@delpay.in,(+91) 8188881111
STUFIT APPROACH PRIVATE LIMITED,info@stufit.in,(+91) 9795409409
Orrba Tech,karanjeetsingh89@gmail.com,(+91) 8938964444
KYVALYA FOUNDATION,anil.kumar.verma23@gmail.com,(+91) 8299632690
Studiuz Education Connect Pvt. Ltd.,goswami.deepak123@gmail.com,(+91) 8860390927
SHOEGARO FASHIONS PRIVATE LIMITED,ankit@shoegaro.com,(+91) 7900983613
NAMASTE ROJGAR SERVICES LLP,namasterojgar@gmail.com,(+91) 9455143912
Digital Food Buddy Private Limited,ashusinghoffc@gmail.com,(+91) 8564986814
PYARE LAL GREEN ENERGY PVT LTD,jaiswal.akshay279@gmail.com,(+91) 9999572996
Haxperts Private Limited,askarvind26@gmail.com,(+91) 8433335111
Unizaal Pharmaceuticals Pvt Ltd,shanuraghuvanshi@gmail.com,(+91) 9897968280
Geartron Technologies Pvt Ltd.,sushant@examarly.com,(+91) 6393869812
SOMBANSHI INFOTECH PRIVATE LIMITED,anoopsombanshi@gmail.com,(+91) 9839114092
TOPVISION UNMANNED SYSTEMS PRIVATE LIMITED,info@topvisionuas.com,(+91) 9560816709
LOBY TECHNOLOGIES PVT. LTD,2010afzalkhan@gmail.com,(+91) 9599931883
Dhaal Healthcare Pvt. Ltd.,abhishek@dhaalindia.com,(+91) 9910008566
vr homes infra tech pvt ltd,info@homesinfra.com,(+91) 9628037899
OrSoot LLP,orsootllp@gmail.com,(+91) 9076980101
Human First Global Ventures,sunnyvaish@humanfirstglobalventures.com,(+91) 9918898666
RAJVINDHYAJAL INDIA PRIVATE LIMITED,rviplbanda@gmail.com,(+91) 7071709568
Cizar Hygiene Care Private Limited,czarcustomercare@gmail.com,(+91) 9212103999
Formexus Design Consultant LLP,formexusdesign@gmail.com,(+91) 7455098029
Garurd Mega Hub Private Limited,yashgupta42242@gmail.com,(+91) 8090710520
VYMANIK AEROSPACE TECHNOLOGIES PVT LTD,vymanikaerotech@gmail.com,(+91) 8182830960
Nadipulse Prohnostics Pvt Ltd,kajal.shri@nadipulse.com,(+91) 8383928198
LCB Fertilizers Private Limited,akshaysri35@gmail.com,(+91) 7905756156
AtlaMedico TechSolution Pvt Ltd,atlamedico@gmail.com,(+91) 7358441435
EMPOWERING ZEALOUS BRAINS PRIVATE LIMITED,team@shiksharthi.co.in,(+91) 8454888803
YOLO E-COMMERCE PRIVATE LIMITED,shivamtiwarist2121@gmail.com,(+91) 8726067767
Arion Business Services Private Limited,info@accountingentry.com,(+91) 6386791199
Everfarm Private Limited,kisanindia.in@gmail.com,(+91) 7459815760
SUBHVASTRAM DRYCLEANERS PVT LTD,zubair@vastram.shop,(+91) 9415796168
INDIGENOUS ENERGY STORAGE TECHNOLOGIES PVT. LTD.,akash@indienergy.in,(+91) 9785501366
Specila E-Services India Private Limited,firoz@specila.com,(+91) 9899472600
YAJAMAHE VENTURES PRIVATE LIMITED,contact@godumru.com,(+91) 6307794212
Currikalam Technologies Private Limited,shakeebzxy@gmail.com,(+91) 8004032601
BOXOCEAN INDIA PRIVATE LIMITED,rajat.gupta@boxocean.in,(+91) 8510812680
Advacto Legal Solutions LLP,jayshreesingh16@gmail.com,(+91) 8601177888
Lord Shiva's Third Eye Consulting Service Pvt Ltd,jtiwari709@gmail.com,(+91) 8860515038
M LAL INFRA PROJECTS PRIVATE LIMITED,mlalinfraprojects@gmail.com,(+91) 9719655600
Mukta Eyewear,text.comkrt@gmail.com,(+91) 8982963587
PET STATION TECHNOLOGIES PRIVATE LIMITED,Petstationapp@gmail.com,(+91) 7518989321
DAGAR TECHNOLOGIES LLP,SANDEEP@DAGARTECHNO.COM,(+91) 8851657738
NAUTOMATION PRIVATE LIMITED,nautomation.mbd@gmail.com,(+91) 9068498991
TECHNOSPEEDER MARKETING PRIVATE LIMITED,choudhary.shani007@gmail.com,(+91) 8909391478
PARIVRITT ENTERPRISES PRIVATE LIMITED,info@intolegalworld.com,(+91) 8182044727
Pepfuels Technologies Private Limited,tikendra@pepfuels.com,(+91) 8826006480
M/S Vidyom,adsmadesense@gmail.com,(+91) 9415329960
IVRRM E COMMERCE PVT LTD,atulksingh.15@gmail.com,(+91) 8860840179
Tanvisha DIGI Solutions OPC Pvt Ltd,tanvishadigisolutions@gmail.com,(+91) 8920655601
Rudrayo Technology India Pvt. Ltd.,rajesh.jaiswal08@gmail.com,(+91) 8318919651
StartupSearch Private Limited,infostartupsearch@gmail.com,(+91) 7417134145
FUTURE TECH EMBEDDED SOLUTIONS (OPC) PRIVATE LIMITED,maxinventer@hotmail.com,(+91) 9451701011
SSAK SOLUTION SERVICES PRIVATE LIMITED,info@ssak.co.in,(+91) 6394869191
PROEINS SOLUTIONS LLP,ajay.uniyal@hotmail.com,(+91) 9997285684
Freshily19 agri-tech private limited,akamankumar098@gmail.com,(+91) 8882639462
Technit Space and Aero Works Private Limited,kishan@tsaw.tech,(+91) 7905461842
ASCENDIO PRIVATE LIMITED,ASCENDIO.GLOBAL@GMAIL.COM,(+91) 9999113792
Neoferra Solutions Private Limited,neo@neoferra.com,(+91) 9140445542
Naivo3D Solutions P. Ltd.,naivo3d@gmail.com,(+91) 9650269757
PBS Life Sciences Private Limited,ca.ankitasingh18@gmail.com,(+91) 7908378354
ONELEARNING EDUSPHERE,khushboo.srivastava8@gmail.com,(+91) 9519284449
Miskaa,naman.gupta@miskaa.in,(+91) 8619530034
CellBless Healthcare Pvt. Ltd,myinfo.cellbless@gmail.com,(+91) 9044464014
NUTRIBOWL FOODS PRIVATE LIMITED,nbfmhq1finance@gmail.com,(+91) 8368420114
Topcore Ventures Private Limited,naiimwarsi@gmail.com,(+91) 7379990199
Pi.14 Technoworld Ventures Private Limited,pi14.meme@gmail.com,(+91) 7300281051
GOODWILLPRIME PRIVATE LIMITED,goodwill.prime110@gmail.com,(+91) 7985048727
BIO CRAFT INNOVATION PRIVATE LIMITED,anubhav2@gmail.com,(+91) 9811575586
SATOGUNI SWADESHI UTPAAD PRIVATE LIMITED,farmersfamily2020@gmail.com,(+91) 9650565452
VAJRAKAYA GREEN POWER PRIVATE LIMITED,INFO@VAJRAKAYA.IN,(+91) 8726366666
YUVAYANA TECH AND CRAFT PRIVATE LIMITED,kmrpraveen89@gmail.com,(+91) 8755077650
HALE DONE OVERSEAS OPC PVT LTD,palsarvjeet@gmail.com,(+91) 9838801901
zigmo agro private limited,zigmoagro@gmail.com,(+91) 08860141325
Krologix Technologies Pvt. Ltd.,hitaishi.srivastava@krologix.com,(+91) 9650102104
AEIDTH TECHNOLOGIES,rajatyadav16@gmail.com,(+91) 07503941167
S.A.V. POWER WORK (OPC) PRIVATE LIMITED,info.savpowerwork@gmail.com,(+91) 9568084375
Wealthisle Future Private Limited,info@futuresambhalo.com,(+91) 9971799250
Kristone innovative solutions (opc) private Limited,hemanshu@kristoneinnovative.com,(+91) 9013366675
Suposhop LLP,contact.suposhop@gmail.com,(+91) 8077435822
Shantishri Agritech,shantishrient@gmail.com,(+91) 9618593567
Growripe Plantation Private Limited,silver9151@gmail.com,(+91) 8423543600
KIBI SPORTS PRIVATE LIMITED,sagarrai@kibi.co.in,(+91) 7002552662
Vayansh Motors (OPC) Pvt Ltd,vsharma26@yahoo.co.in,(+91) 8588990118
Vayansh Motors (OPC) Pvt Ltd,vsharma26@yahoo.co.in,(+91) 8588990118
Mrasis Solutions pvt ltd,mrasis.sol@gmail.com,(+91) 7906961359
Mrasis Solutions pvt ltd,mrasis.sol@gmail.com,(+91) 7906961359
Swadheen Media Pvt Ltd,manan@newsbulb.in,(+91) 7505739071
workfi,shekharchaubey03@gmail.com,(+91) 8787026645
Nautomation Pvt Ltd,ankur@nautomation.in,(+91) 8449777767
NISHKAM TECHNOLOGY PRIVATE LTD,official.nishkam@gmail.com,(+91) 7752999968
TREDMOLEN E-CYCLE PRIVATE LIMITED,tredecycle@gmail.com,(+91) 9628844361
VALVEHOLIC  SATYAM INDUSTRIES PRIVATE LIMITED,info@gaontak.tech,(+91) 7408400003
Nexrize Sales Private Limited,nexrize@outlook.com,(+91) 9919101369
Vimaana Aerospace Technologies,vimaanatechnologies@gmail.com,(+91) 9899170989
CROBLAZE AGRITECH PRIVATE LIMITED,official@croblaze.com,(+91) 9555079454
WORKEZY PRIVATE LIMITED,ayushnirmal2000@gmail.com,(+91) 8954444069
ARNAV GREENTECH INNOVATION,RUPAM.GUPTA@GMAIL.COM,(+91) 9529178910
TRUE HAULAGE TRANSIT PVT. LTD.,teamone@truehaulage.com,(+91) 9451250284
QUBE RETAIL PRIVATE LIMITED,smritisingh08@gmail.com,(+91) 9810883122
INVENCIO TECH OPC PVT LTD,vinaysingh.singh8004@outlook.com,(+91) 9118188844
