USOP SECURITI TECHNOLOGIES PRIVATE LIMITED,namratanu@gmail.com,01090192b96fa6d7-bb7685ab-c571-4431-b001-c2c91a997745-000000,Sent
AgSmartic Technologies,rashi.verma@agsmartic.com,01090192b96fa737-be2cd4b4-4ebc-43ce-ac02-e9bf49af7737-000000,Sent
G Systems,ashishkushwaha1110@gmail.com,01090192b96fa790-1554077e-253c-419f-aa11-117f3c0c95cc-000000,Sent
Guzmac India Private Limited,boilingvivek@gmail.com,01090192b96fa7f4-0c924494-8631-47d3-9d05-cf143841ffb9-000000,Sent
Jungly Labs Private Limited,gp@junglylabs.com,01090192b96fa864-e5ceb1f0-bc1f-47de-af10-3d19a061410f-000000,Sent
SGA INDIAN GATEWAY PVT LTD,info@indiangateway.in,01090192b96fa8cf-0b9f9fca-393f-4201-abcf-4ba6c83f9cb6-000000,Sent
ARCENCIEL INDUSTRIES PRIVATE LIMITED,arcencielindustries@gmail.com,01090192b96fa939-232b0926-7c59-4716-8b14-0cd1425c486e-000000,Sent
Ingeniocrats Private Limited,sid@hungrytripper.com,01090192b96fa9c0-618033db-0c0e-4b5b-aee5-2624dab63475-000000,Sent
TWIGHOP REALTY SERVICES PRIVATE LIMITED,umeed@twighop.com,01090192b96faa21-22ece91f-8f4d-4071-9ac3-573c4bd58244-000000,Sent
BroadBuy Technovative Solutions Pvt. Ltd,cashcry.com@gmail.com,01090192b96faa8c-23f3cf58-d8ce-48ad-b53d-be905bbca2f5-000000,Sent
GreyKernel Technologies India Private Limited,abhishekg@greykernel.com,01090192b96fab7b-c3a88599-43c4-436a-b676-633767e376df-000000,Sent
Red Raven opc Operative Pvt Ltd,redravenoperative@gmail.com,01090192b96fac0a-f2bb84ba-a3f3-4a1e-ac25-c196d465cf8a-000000,Sent
Nandinandan Breeds & seeds India Pvt Ltd,sanjeevfaculty@gmail.com,01090192b96fac91-faf0247b-a423-4887-9d43-a140451e790b-000000,Sent
Lextrum Legal Education Services Pvt Ltd,dsaraswat04@gmail.com,01090192b96fad12-db5dfbd1-1d3a-4989-b750-3302edfb0759-000000,Sent
Krishna Consultancy,krishnaconsultancy403@gmail.com,01090192b96fad90-0c18418b-4c0f-4e8b-ba4d-77d3af94899f-000000,Sent
StarShield Technologies Pvt. Ltd.,supreetsinghg@yahoo.co.in,01090192b96faded-a9cca4c3-6b2b-44e3-9147-cc211b4d3fbb-000000,Sent
Antrix Networks Private Limited,Sujan.deb@antrixnetworks.in,01090192b96fae53-b82178bc-e4ab-4721-a6d2-21e5be07c0a4-000000,Sent
Antrix Networks Private Limited,Sujan.deb@antrixnetworks.in,01090192b96faec9-e1363075-eb93-4ba7-a7b7-ee5243965854-000000,Sent
Krishakkart Agro Innovation LLP,sanjay.sonebhadra@gmail.com,01090192b96faf59-683baeff-5bdc-4f3d-a454-f3d32653ac23-000000,Sent
Divit Nutraceuticals Pvt Ltd,vikrant.tomar@divitnutrition.com,01090192b96fafc0-85cf73a7-5d87-4367-bcab-ba65d494cfde-000000,Sent
INSPIRE HOMES,ershashankinspirehomes@gmail.com,01090192b96fb01f-96bfb110-0305-4925-9919-a6a8e1098c30-000000,Sent
AVJA VENTURES PRIVARE LIMITED,avjaventures@gmail.com,01090192b96fb0f7-b2f9b5bf-63d1-43a1-bd7a-ae999171c31a-000000,Sent
Quest educational technologies LLP,questeducationaltechnologies@gmail.com,01090192b96fb160-1c6df44e-154b-4ce4-9175-6df51f959dcb-000000,Sent
Kanpur Technologies Private Limited,kanpur.technologies@gmail.com,01090192b96fb1f1-76ea3452-a21a-4b25-aecb-7e45d80a0e5b-000000,Sent
Veros Enterprises,verosenterprises@gmail.com,01090192b96fb25b-ce47061a-a787-4cd5-9280-43b7e6986262-000000,Sent
Onikosh Steam Pvt Ltd,info.onikosh@gmail.com,01090192b96fb320-693a47e6-4c84-459f-bd3d-15b591d98be0-000000,Sent
Vedagarbha Renewable Energy and Technology(OPC) Pvt Ltd,jps.iitbhu@gmail.com,01090192b96fb386-d0f0aa50-4092-4d0b-918c-a3903d17d8b9-000000,Sent
Tvesas Electric Solutions Pvt Ltd,varun@tvesas.com,01090192b96fb3ed-45336284-6260-4949-b40f-1f816e02913f-000000,Sent
Tvesas Electric Solutions Pvt Ltd,varun@tvesas.com,01090192b96fb44e-85805ef8-c4b9-40a5-932c-ddc8606fd157-000000,Sent
ofo technologies pvt ltd,prasoon@ofoworld.com,01090192b96fb4b3-03296a95-f4be-45a7-b24d-fb7f08e152c6-000000,Sent
BLUEHEARTCARE,desk@blueheartcare.com,01090192b96fb52f-b95b6e25-3233-49bb-935d-1a43c373bd5b-000000,Sent
LEICHT LED PVT LTD,leichtledindia@gmail.com,01090192b96fb596-20eb8c49-84d0-4105-a40b-1370cd122797-000000,Sent
JRDC ENGINEERING PRIVATE LIMITED,jrdcengineeringpvt@gmail.com,01090192b96fb617-85e475e8-8e92-4a50-84b4-c294bdfa0368-000000,Sent
ONLY ONE DIGI E INDOWORLD PRIVATE LIMITED,onlyonedigitalindia@gmail.com,01090192b96fb68f-4591335b-92fe-41cd-a4e3-7f36b6a9a9bd-000000,Sent
Greencore Producer Company Limited,agriworld18@gmail.com,01090192b96fb6ec-a5cb2cfd-fa79-45f3-a38e-2bd77a32a2ad-000000,Sent
EN MARKETING OPC PVT LTD,pagrahari178@gmail.com,01090192b96fb749-63e7ab56-2083-4256-b913-c9b322a01014-000000,Sent
devarvind project operationsllp,arvind8009565007@gmail.com,01090192b96fb7a3-8b7f0bbf-e9a1-43b6-983d-05cd64c2b40d-000000,Sent
earth n pots planting solutions llp,earthnpots@gmail.com,01090192b96fb7fd-797aea32-ab32-4925-bd6b-6c0c1a43547b-000000,Sent
ETL LABS PVT LTD,info@goetl.com,01090192b96fb859-9e341d0a-d684-4641-8942-7cd02f110538-000000,Sent
VRAI VIE SOLUTIONS PRIVATE LIMITED,dewanshpoddar@gmail.com,01090192b96fb8dd-d1e53364-4aa4-447b-bf4c-1891c0fb241b-000000,Sent
R Cube Green Technology LLP,vipin.karhana@gmail.com,01090192b96fb95e-0efb5902-6603-439b-a234-9e48b7463941-000000,Sent
Expurgo India Private Limited,expurgoindia@gmail.com,01090192b96fb9bd-d3a92446-abb3-4c14-a544-0daa2b08b2ed-000000,Sent
IOanyT Innovations Pvt Ltd,nitin.goel@ioanyt.com,01090192b96fba1e-82905633-4cd0-4b4b-a1bc-16af5b9c85fd-000000,Sent
Alming Ventures Private Limited,info@findingholidays.com,01090192b96fbaab-5d4e7b23-4e84-4771-950d-6c297347ea8a-000000,Sent
ZurfON9 Networks Private Limited,shubhamchowkse@zurfon9.com,01090192b96fbb10-d125cf40-fdfa-4172-bcaf-cdae7a7a942b-000000,Sent
SecondsOnStage Media Private Limited,abhisht@vyaas.in,01090192b96fbba0-3c648bcc-cfd6-457d-a66d-96db4699b278-000000,Sent
CLEANYUG SCRAP MANAGEMENT PRIVATE LIMITED,manvendra@scrapkarocash.com,01090192b96fbc0b-db833a88-909d-44eb-94f7-4af308b71410-000000,Sent
Alyth Creations,contact@alythcreations.com,01090192b96fbc63-4e7039aa-c968-4d37-a0d8-4923971f1d06-000000,Sent
Rootsvine Agro Exports Private Limited,rootsvineagro@gmail.com,01090192b96fbce3-9945dd32-88ed-44c8-8500-7c1d06506f58-000000,Sent
Gonna Solutions Private Limited,care@futureshiksha.org,01090192b96fbd3f-e7802558-60a2-4540-8a3a-7bf3f527a672-000000,Sent
Aisces Software Solutions Private Limited,anuj@aisces.com,01090192b96fbd97-e9f95483-a2e7-450e-b906-1de103a86f78-000000,Sent
Papart Creations Private Limited,platanofoods@gmail.com,01090192b96fbe2a-fe249fbd-ae5f-4077-bab3-c684da349b6d-000000,Sent
Dexob Solutions Private Limited,business@dexob.com,01090192b96fbe9d-caf2a61f-4cb7-4daa-94e7-1b44548a48b2-000000,Sent
Matfusion Weld Private Limited,matfusion@outlook.com,01090192b96fbf0e-dc90789a-cc70-4738-9654-2ead9ecb0e40-000000,Sent
City Crafters Private Limited,Sohomsunny1993@gmail.com,01090192b96fbf74-021564c0-0cec-489c-9891-c576100e4f07-000000,Sent
PiChem Chemicals Private Limited,info.pichem@gmail.com,01090192b96fc020-84e98642-88c5-404b-a4a6-ba99e5f85f33-000000,Sent
Foodifi Technologies Pvt Ltd,raj.devesh07@gmail.com,01090192b96fc07c-bac5921a-4515-4709-a185-9526937e3a73-000000,Sent
Farmexa Agri Services,suraj9verma9@gmail.com,01090192b96fc0e1-11ce451f-bb87-4146-96aa-1dd77a2bdc05-000000,Sent
Friendshop properties marketing Pvt ltd,Akhilsingh2324@gmail.com,01090192b96fc13e-68ed2e03-5887-4e84-b77a-4b2a8eba792e-000000,Sent
OSR Hostel Private Limited,thehostel.in@gmail.com,01090192b96fc198-4cf07992-7d8f-4652-a61c-9db488d7d2d8-000000,Sent
MOKVIS ENGINEERING PRIVATE LIMITED,PRATIK@CUJ.AC.IN,01090192b96fc1ef-820b6782-df53-453b-ae0a-5f9aca9de16e-000000,Sent
GREEN GIFTS RETAIL PRIVATE LIMITED,satya.engineer@gmail.com,01090192b96fc263-f3d95184-c0c3-46a2-9fa7-14bc9bbb5560-000000,Sent
VR Green Private Limited,info.vrgreen@gmail.com,01090192b96fc2e9-f3a201fb-b66c-44f1-ab41-ec5b19428e1e-000000,Sent
fronix innovation llp,fronixinnovationllp@gmail.com,01090192b96fc34c-c3b77b82-e6a0-465f-8fd2-742a3efee568-000000,Sent
Tank-Up Petro Ventures LLP,businesshead@tankup.co.in,01090192b96fc3bf-2607daee-6dc2-4983-a665-718d4b337614-000000,Sent
Recipient Name,Email,Message ID,Status
Bio Craft Innovation Private Limited,info@biomize.in,01090192b9727b55-54916b42-44fe-462f-8d3a-fd178078200f-000000,Sent
Abhiprerana ATE World Talk,ateworldtalk@gmail.com,01090192b9727bd4-ab929fdb-02c9-4ec2-8713-cb85b749e096-000000,Sent
Campus Haat Solutions Pvt Ltd,admin@campushaat.com,01090192b9727c76-e6a0c873-31bc-4e53-9e46-d59bd9832c8f-000000,Sent
Bhurak Technologies Pvt. Ltd.,Satyam@bhurak.com,01090192b9727cf7-f987c4f2-3df0-4442-91ef-1489fcfcacfe-000000,Sent
enray solutions LLP,enraysolutions@gmail.com,01090192b9727dab-83753851-e005-4c34-9c00-a407605d4c63-000000,Sent
SHOPPINGKART24 ONLINE SERVICES PVT LTD,prateekbsingh@shoppingkart24.com,01090192b9727e28-795cbc7e-08ba-4468-b309-f5ed153a0bc0-000000,Sent
FRESHNIC AGRIBUSINESS PRIVATE LIMITED,hemantrangat17@gmail.com,01090192b9727ebd-c24d42c2-bd98-4ddf-8a1a-7741f4a0e2dd-000000,Sent
Ringel Web Technology Pvt Ltd,vcl.vinay@gmail.com,01090192b9727f3b-2b6a48dd-2954-4a59-9587-e6d5deab0c7b-000000,Sent
Cobra Online Services Pvt. Ltd.,croremart@gmail.com,01090192b9727fb6-69c6b0fd-7ec5-4dc4-b51b-2bfdc0d7f278-000000,Sent
Kalusyam Tech Private Limited,0emissiontechnologies@gmail.com,01090192b972801f-a5ef8d22-2045-44ab-8f0d-905b8a635d0d-000000,Sent
Aahan Farm Private Limited,gaurav1chauhan@yahoo.com,01090192b97284a8-df759b44-95a4-4040-9d92-54753ba30717-000000,Sent
Ampius Industries,team@theampius.com,01090192b9728528-2d19b355-4d31-41f7-b3e8-c5ddbcb85513-000000,Sent
Tequre Solutions Private Limted,contact@tequre.com,01090192b97285ab-1086b86e-cec8-4414-96c2-536c6eab9eb4-000000,Sent
PAMPOWER PVT LTD,amit@pampower.com,01090192b9728614-dbeffc44-fde7-4f3e-a301-a69bc93498c5-000000,Sent
Onlinegatha,editor.onlinegatha@gmail.com,01090192b972867c-58927987-ad10-45d5-a79e-758711fca59e-000000,Sent
UPANI SERVICES PVT.LTD,vijaydixit1@gmail.com,01090192b9728726-04ddb250-2406-4add-a07b-368b813b062c-000000,Sent
Progressive Agri Turnkey Solutions Private Limited,arvind.patspl@gmail.com,01090192b9728796-9251bdca-6e6e-41c3-9147-503c4c7c53f3-000000,Sent
WeryWin Security Private Limited,mohit@werywin.com,01090192b972881f-ce6cfce4-7361-4bad-a6c1-d9b43f987c6b-000000,Sent
Sankrit Ajay Agriculture and Technology Hub,saatinnovation@gmail.com,01090192b9728887-9b8e17e2-8613-4b8c-b902-c55f75a971ec-000000,Sent
Metamorfatica Systems and Design,rajat.jaiswal@metamorphosys.tech,01090192b97288f5-3ada2ad9-5384-4790-91bf-2f3c91e4add4-000000,Sent
Nutraceutical Rich Organic India Pvt Ltd,nutriorganicindia@gmail.com,01090192b9728d5c-e8ebe8bf-7d6a-4bc7-b63d-eea2037c8126-000000,Sent
STUDY AT HOME PRIVATE LIMITED,caagrawalraj@gmail.com,01090192b9728dcd-41478b52-1329-4816-b81c-82fe11330a79-000000,Sent
Gestureminds Webservices LLP,gaurav4566@gmail.com,01090192b9728e34-4f77b129-206f-49aa-a69f-a8803efbf3c0-000000,Sent
Kaushal Teleportation Lab,prashant.941022@gmail.com,01090192b9728e9b-ebbfb1e7-0162-4c94-ab54-26fcc934eede-000000,Sent
Feeding Trends,itsmeyashsrivastava@gmail.com,01090192b9728eff-06157195-0d41-43f2-862a-f3a3cfc3aa0e-000000,Sent
DIGIPANTS NETWORK PRIVATE LIMITED,bhupendra@digipants.com,01090192b9728f68-7f7fe8ed-27df-48c3-bcb3-ec14d89dccf6-000000,Sent
scinomat solutions Private Limited,sunil.pankaj.iitk@gmail.com,01090192b9728fda-4579e66f-c56f-4312-bbef-c2f992e7be79-000000,Sent
Utthapana Private Limited,sweksha7737@gmail.com,01090192b972909a-b8a0c583-3bff-47e2-9386-ac6b3321d359-000000,Sent
KRP Rental Services Pvt.Ltd.,saurabhsingh@kiraipe.com,01090192b9729129-3b425eff-f525-4cc1-80dc-98850e842c98-000000,Sent
Blu Ocean Studios Pvt Ltd,director@bluoceanstudios.com,01090192b972918c-6566936b-fefd-4c54-a5e1-dff06075f542-000000,Sent
PROMATY INSIGHT PRIVATE LIMITED,promatyinsight@gmail.com,01090192b9729616-85dc9041-42ae-4829-91c2-6e63420143b6-000000,Sent
Antrax Labs,arqum@antraxlabs.com,01090192b97296a5-956c85a5-334b-4714-b93e-eacb6c80e709-000000,Sent
Hegan India Private Limited,harshit.banka1990@gmail.com,01090192b972972e-e364cce2-24dc-46b8-89bf-ce05f924f6b5-000000,Sent
Froport Logistics Private Limited,support@froport.com,01090192b97297eb-e2b63ed5-cbe2-4d06-a6a9-20b235da46d7-000000,Sent
RENAISSANCE GLOBAL MARKETING AND CONSULTING PRIVATE LIMITED,info@financekaart.com,01090192b9729857-9b349716-525b-4f1e-a4aa-dffbfd27bcd9-000000,Sent
InstantPost Printers and Scanners Private Limited,akhil.mohan@instantpost.in,01090192b97298c4-59832f23-c5bd-4189-8ea6-1c59368756d5-000000,Sent
Standard Power Solutions Trading Agency LLP,standardpowersolution19@gmail.com,01090192b972993d-4ba35c80-a61d-470f-9635-d08c6d65ec2a-000000,Sent
Menghis Private Limited,sourabhmenghi@gmail.com,01090192b97299c9-b239be65-182b-48fc-bcc2-57e2aa5f28ce-000000,Sent
BANGAR BUSINESS VENTURES PVT. LTD.,controller@bbvclothings.com,01090192b9729a38-af5df02a-9eda-4be9-8baa-dd74c3995c92-000000,Sent
Bloque Labs Private Limited,vikas@bloquelabs.com,01090192b9729abc-306f5695-ddca-4e7d-8fc6-d0d58a9e8d44-000000,Sent
EduGorilla Community Private Limited,rohit@edugorilla.com,01090192b9729f1d-284fed1a-a37a-4f88-ac65-452eddf7172b-000000,Sent
EduGorilla Community Private Limited,rohit@edugorilla.com,01090192b9729f8f-2f3d11b6-c6d9-4b28-bc87-b79944f51104-000000,Sent
